# mean, investigation_time=50.0
lon,lat,PGA-0.1
140.88102,-6.47512,1.685866E-01
140.88105,-6.56505,1.537014E-01
140.88108,-6.65498,1.407773E-01
140.88112,-6.74491,1.296158E-01
140.88115,-6.83484,1.200594E-01
140.88119,-6.92478,1.115969E-01
140.88122,-7.01471,1.039662E-01
140.88126,-7.10464,9.690216E-02
140.88129,-7.19457,9.049090E-02
140.88133,-7.28451,8.463601E-02
140.88136,-7.37444,7.931430E-02
140.88140,-7.46437,7.454178E-02
140.88144,-7.55430,7.022422E-02
140.88148,-7.64423,6.648114E-02
140.88152,-7.73417,6.327097E-02
140.88155,-7.82410,6.051675E-02
140.88159,-7.91403,5.819541E-02
140.88163,-8.00396,5.629387E-02
140.88167,-8.09389,5.473562E-02
140.88171,-8.18383,5.347377E-02
140.88176,-8.27376,5.241851E-02
140.88180,-8.36369,5.154663E-02
140.88184,-8.45362,5.080071E-02
140.88188,-8.54356,5.016449E-02
140.88193,-8.63349,4.958731E-02
140.88197,-8.72342,4.902335E-02
140.88201,-8.81335,4.843126E-02
140.88206,-8.90328,4.775947E-02
140.88210,-8.99322,4.691803E-02
140.88215,-9.08315,4.580883E-02
140.88219,-9.17308,4.430528E-02
140.88224,-9.26301,4.225977E-02
140.88229,-9.35294,3.956231E-02
140.88234,-9.44288,3.626584E-02
140.88238,-9.53281,3.274064E-02
140.88243,-9.62274,2.944946E-02
140.88248,-9.71267,2.655973E-02
140.88253,-9.80261,2.388362E-02
140.88258,-9.89254,2.167123E-02
140.88263,-9.98247,1.982186E-02
140.88268,-10.07240,1.806971E-02
140.88273,-10.16233,1.644533E-02
140.88278,-10.25227,1.502040E-02
140.88283,-10.34220,1.371305E-02
140.88289,-10.43213,1.225550E-02
140.88294,-10.52206,1.093653E-02
140.88299,-10.61199,9.738393E-03
140.88305,-10.70193,8.408852E-03
140.88310,-10.79186,7.250566E-03
140.88316,-10.88179,6.095626E-03
140.88321,-10.97172,5.155360E-03
140.88327,-11.06166,0.000000E+00
140.88333,-11.15159,0.000000E+00
140.88338,-11.24152,0.000000E+00
140.88344,-11.33145,0.000000E+00
140.88350,-11.42138,0.000000E+00
140.88356,-11.51132,0.000000E+00
140.88362,-11.60125,0.000000E+00
140.88367,-11.69118,0.000000E+00
140.88373,-11.78111,0.000000E+00
140.88380,-11.87105,0.000000E+00
140.88386,-11.96098,5.262661E-03
140.96980,-0.08993,1.301372E-01
140.96980,-0.17986,1.435633E-01
140.96980,-0.26980,1.501820E-01
140.96980,-0.35973,1.532661E-01
140.96980,-0.44966,1.542007E-01
140.96981,-0.53959,1.544822E-01
140.96981,-0.62953,1.550973E-01
140.96982,-0.71946,1.566867E-01
140.96982,-0.80939,1.597540E-01
140.96983,-0.89932,1.650362E-01
140.96984,-0.98925,1.732947E-01
140.96984,-1.07919,1.855038E-01
140.96985,-1.16912,2.027726E-01
140.96986,-1.25905,2.213305E-01
140.96987,-1.34898,2.424585E-01
140.96988,-1.43891,2.662937E-01
140.96989,-1.52885,2.916865E-01
140.96990,-1.61878,3.158441E-01
140.96992,-1.70871,3.422983E-01
140.96993,-1.79864,3.716382E-01
140.96994,-1.88858,4.036576E-01
140.96996,-1.97851,4.353882E-01
140.96997,-2.06844,4.747671E-01
140.96999,-2.15837,5.175160E-01
140.97000,-2.24830,5.595802E-01
140.97002,-2.33824,6.093755E-01
140.97004,-2.42817,6.882253E-01
140.97006,-2.51810,7.646141E-01
140.97008,-2.60803,7.861831E-01
140.97010,-2.69796,7.968081E-01
140.97012,-2.78790,8.138888E-01
140.97014,-2.87783,8.243711E-01
140.97016,-2.96776,8.253751E-01
140.97018,-3.05769,8.357234E-01
140.97020,-3.14763,8.323037E-01
140.97023,-3.23756,8.209543E-01
140.97025,-3.32749,7.998318E-01
140.97028,-3.41742,7.791223E-01
140.97030,-3.50735,7.663003E-01
140.97033,-3.59729,7.574040E-01
140.97036,-3.68722,7.507724E-01
140.97038,-3.77715,7.377671E-01
140.97041,-3.86708,7.204386E-01
140.97044,-3.95702,6.974087E-01
140.97047,-4.04695,6.820199E-01
140.97050,-4.13688,6.585647E-01
140.97053,-4.22681,6.367028E-01
140.97056,-4.31674,6.234271E-01
140.97060,-4.40668,6.098711E-01
140.97063,-4.49661,5.921221E-01
140.97066,-4.58654,5.768408E-01
140.97070,-4.67647,5.636223E-01
140.97073,-4.76640,5.493636E-01
140.97077,-4.85634,5.627836E-01
140.97080,-4.94627,5.600558E-01
140.97084,-5.03620,5.570755E-01
140.97088,-5.12613,5.439770E-01
140.97092,-5.21607,5.288765E-01
140.97096,-5.30600,5.164567E-01
140.97100,-5.39593,4.995515E-01
140.97104,-5.48586,4.744331E-01
140.97108,-5.57579,4.371898E-01
140.97112,-5.66573,4.082008E-01
140.97116,-5.75566,3.744920E-01
140.97121,-5.84559,3.409224E-01
140.97125,-5.93552,3.127222E-01
140.97130,-6.02545,2.874901E-01
140.97134,-6.11539,2.608642E-01
140.97139,-6.20532,2.366721E-01
140.97143,-6.29525,2.150207E-01
140.97148,-6.38518,1.948024E-01
140.97153,-6.47512,1.765112E-01
140.97158,-6.56505,1.611708E-01
140.97163,-6.65498,1.481067E-01
140.97168,-6.74491,1.365058E-01
140.97173,-6.83484,1.264482E-01
140.97178,-6.92478,1.175480E-01
140.97183,-7.01471,1.094441E-01
140.97188,-7.10464,1.019832E-01
140.97194,-7.19457,9.495821E-02
140.97199,-7.28451,8.856740E-02
140.97205,-7.37444,8.273350E-02
140.97210,-7.46437,7.745984E-02
140.97216,-7.55430,7.272688E-02
140.97222,-7.64423,6.855038E-02
140.97227,-7.73417,6.496941E-02
140.97233,-7.82410,6.190188E-02
140.97239,-7.91403,5.934892E-02
140.97245,-8.00396,5.721786E-02
140.97251,-8.09389,5.549234E-02
140.97257,-8.18383,5.408819E-02
140.97263,-8.27376,5.294099E-02
140.97270,-8.36369,5.197452E-02
